t,theta1,theta2,x1,y1,x2,y2
0.0,0.6108652381980153,3.141592653589793,1.147152872702092,-1.6383040885779836,1.1471528727020923,-0.6383040885779836
0.01,0.6108652381980153,3.141592653589793,1.147152872702092,-1.6383040885779836,1.1471528727020923,-0.6383040885779836
0.02,0.6105032111444942,3.1409995431878337,1.1465596871381039,-1.63871928158235,1.1471527975052893,-0.6387194574723192
0.03,0.6097791739145547,3.13981319968377,1.1453728929420566,-1.6395490038768419,1.147152345908986,-0.639550587104526
0.04,0.6086932959595609,3.138032964157414,1.1435918679002546,-1.6407917721857355,1.1471515498149372,-0.6407981078734728
0.05,0.6072458999754511,3.1356576420218065,1.1412157954210234,-1.642445283192582,1.1471507721462384,-0.6424628953220399
0.06,0.6054374631993672,3.132685504129034,1.1382436724467793,-1.6445064129199585,1.1471507041297904,-0.6445460813134503
0.07,0.603268619338142,3.1291142884408587,1.1346743205227017,-1.6469712160041976,1.147152361840623,-0.6470490697923696
0.08,0.6007401611372162,3.1249412022829497,1.1305064000402725,-1.649834924914606,1.1471570818641614,-0.6499735571266514
0.09,0.5978530436016016,3.1201629252081076,1.125738427679814,-1.6530919491803777,1.1471665158918287,-0.6533215570224692
0.1,0.5946083878835571,3.114775612500659,1.1203687970816987,-1.6567358747023337,1.1471826240240537,-0.657095429999987
0.11,0.5910074858546999,3.108774899361174,1.1143958027810685,-1.6607594632408205,1.1472076665127098,-0.6612979174080375
0.12,0.5870518053833333,3.1021559058178583,1.107817667445585,-1.665154652185623,1.1472441936322486,-0.6659321799439044
0.13,0.5827429963408144,3.0949132424184014,1.1006325724598602,-1.669912554728657,1.147295033325321,-0.6710018406275522
0.14,0.5780828973637939,3.087041016763707,1.092838691903631,-1.675023460575511,1.1473632762246269,-0.676511032157806
0.15,0.5730735434021104,3.0785328409527817,1.0844342299733383,-1.6804768373477015,1.147452257608295,-0.682464448550348
0.16,0.5677171740849616,3.0693818400160113,1.0754174618983745,-1.6862613328437732,1.1475655358016126,-0.688867400923164
0.17,0.5620162429406733,3.0595806614220713,1.0657867784036765,-1.6923647783441702,1.1477068664938015,-0.6957258772534561
0.18,0.5559734275078547,3.049121485751619,1.055540733769344,-1.6987741931621385,1.1478801723953929,-0.7030466058802424
0.19,0.549591640377913,3.037996038638577,1.044678097535317,-1.7054757906607736,1.148089507620336,-0.7108371224680333
0.2,0.5428740412106794,3.0261956040869924,1.0331979098945119,-1.7124549859747007,1.1483390161381986,-0.7191058400783648
0.21,0.5358240497661781,3.013711039277884,1.021099540810912,-1.719696405693675,1.148632883606879,-0.7278621219167497
0.22,0.5284453599962001,3.000532790985846,1.008382752889481,-1.7271838997845688,1.148975281866457,-0.7371163562321815
0.23,0.5207419552391787,2.9866509137290675,0.9950477680120652,-1.7349005560475814,1.1493703053518518,-0.7468800327440368
0.24,0.5127181245607231,2.9720550897783924,0.9810953377371215,-1.7428287174219053,1.1498218986676227,-0.7571658198567357
0.25,0.5043784802798484,2.9567346511505486,0.9665268174406969,-1.7509500024752156,1.1503337745647544,-0.7679876417956243
